Time,CW_change_mm,UHSLCFD_change_mm
1987-07-16,-33.2473958333,-37.6396494991
1987-10-16,-37.6140625,-37.6894187888
1988-01-16,-31.4140625,-30.9933287778
1988-04-16,-31.6473958333,-30.4379563024
1988-07-16,-28.8473958333,-33.2500902185
1988-10-16,-26.5140625,-34.6725541049
1989-01-16,-31.8473958333,-35.1110416484
1989-04-16,-24.6140625,-30.7725668653
1989-07-16,-25.1473958333,-27.6600642262
1989-10-16,-22.2473958333,-26.2768042712
1990-01-16,-25.2473958333,-25.6901566511
1990-04-16,-28.3140625,-24.2596171955
1990-07-16,-22.8473958333,-18.7236251245
1990-10-16,-19.4807291667,-17.31246788
1991-01-16,-20.3473958333,-20.2286676928
1991-04-16,-21.8140625,-18.6823468464
1991-07-16,-22.8140625,-13.7678163154
1991-10-16,-18.9473958333,-10.1341218221
1992-01-16,-16.3807291667,-9.429841764
1992-04-16,-17.4140625,-12.5829058538
1992-07-16,-20.2473958333,-15.8320895224
1992-10-16,-17.8140625,-17.3425185467
1993-01-16,-19.5807291667,-17.7527867453
1993-04-16,-16.3140625,-17.3872658416
1993-07-16,-22.7807291667,-21.673325136
1993-10-16,-28.7140625,-25.3247316818
1994-01-16,-22.3473958333,-20.2167538696
1994-04-16,-20.0807291667,-15.5778758817
1994-07-16,-17.9807291667,-15.6469927991
1994-10-16,-18.2473958333,-13.72965517
1995-01-16,-16.3473958333,-8.64796720753
1995-04-16,-15.2807291667,-6.73378042626
1995-07-16,-15.5807291667,-9.44223466758
1995-10-16,-11.5473958333,-8.82745364993
1996-01-16,-7.2473958333,-7.25531948425
1996-04-16,-15.1807291667,-10.5655792933
1996-07-16,-11.9473958333,-12.4203860763
1996-10-16,-5.1473958333,-11.1463936037
1997-01-16,-6.4807291667,-7.82987493411
1997-04-16,0.1192708333,-3.44127017496
1997-07-16,-2.6473958333,-3.32847208778
1997-10-16,-2.1140625,-2.22968931034
1998-01-16,-1.8473958333,-2.24031393855
1998-04-16,-11.6473958333,-7.82230366215
1998-07-16,-10.8140625,-10.1407875673
1998-10-16,-9.1140625,-9.40738042046
1999-01-16,-8.4807291667,-6.74981205172
1999-04-16,-0.6473958333,-3.62669861658
1999-07-16,-0.2473958333,-2.94705402703
1999-10-16,-3.0807291667,-4.66135219848
2000-01-16,-8.3473958333,-5.52291780344
2000-04-16,0.7859375,-3.43252099473
2000-07-16,2.9526041667,-4.27988301714
2000-10-16,-4.6140625,-3.30512978465
2001-01-16,-0.8140625,2.62833307172
2001-04-16,2.7526041667,4.1248619832
2001-07-16,4.7192708333,2.4070556479
2001-10-16,3.3192708333,3.06083585016
2002-01-16,-2.7807291667,1.99556320251
2002-04-16,-1.0473958333,-0.363777342092
2002-07-16,2.1526041667,0.801590101853
2002-10-16,5.2192708333,1.75452593759
2003-01-16,4.3859375,1.79145088594
2003-04-16,5.9192708333,4.41393850857
2003-07-16,14.6192708333,7.68186727974
2003-10-16,15.7192708333,8.72209228402
2004-01-16,8.2526041667,6.62298363247
2004-04-16,9.1526041667,5.83542257714
2004-07-16,13.6526041667,7.48656108655
2004-10-16,9.9859375,7.84533054115
2005-01-16,10.6192708333,7.17156053586
2005-04-16,10.0526041667,6.45213073181
2005-07-16,12.1192708333,7.0596747303
2005-10-16,6.3526041667,7.18568095762
2006-01-16,6.6526041667,8.94686674861
2006-04-16,14.1192708333,12.4081428874
2006-07-16,9.5192708333,13.9165947937
2006-10-16,13.6526041667,13.2483754671
2007-01-16,4.3859375,9.85552128208
2007-04-16,10.3859375,12.6430676746
2007-07-16,22.7859375,19.3484023478
2007-10-16,17.5192708333,19.574208125
2008-01-16,17.5526041667,20.4257430721
2008-04-16,25.3526041667,26.3020070378
2008-07-16,30.4526041667,27.9750649731
2008-10-16,23.8192708333,23.99228551
2009-01-16,19.3192708333,23.2487332377
2009-04-16,24.6526041667,27.3728983118
2009-07-16,33.6526041667,33.3612810532
2009-10-16,38.0859375,41.0497670078
2010-01-16,,44.1941018014
2010-04-16,,39.0594965821
2010-07-16,,36.8259232425
2010-10-16,,39.2863297615
2011-01-16,,38.3273866635
2011-04-16,,37.3634909408
2011-07-16,,39.3337522516
2011-10-16,,38.1442953929
2012-01-16,,38.9638904934
2012-04-16,,47.057709182
2012-07-16,,52.337031909
2012-10-16,,51.4199699141
2013-01-16,,50.0512350128
2013-04-16,,50.2112067704
2013-07-16,,47.3613072849
2013-10-16,,44.3641156425
2014-01-16,,48.0168589038
2014-04-16,,54.1598986258
2014-07-16,,58.4656947052
2014-10-16,,60.2360569527
2015-01-16,,58.148349347
2015-04-16,,53.6914564475
2015-07-16,,52.3030435497
2015-10-16,,56.6841893237
2016-01-16,,61.5157847125
2016-04-16,,62.1976436646
2016-07-16,,62.9631837036
2016-10-16,,64.5877973523
2017-01-16,,61.5913829683
2017-04-16,,59.3257265197
2017-07-16,,60.6267732085
2017-10-16,,58.3711557623
2018-01-16,,56.6740627576
2018-04-16,,58.1931259937
2018-07-16,,57.9828121663
2018-10-16,,60.2175236245
2019-01-16,,66.4272482336
2019-04-16,,71.412277334
2019-07-16,,74.591494689
